IDPdv;Ciudad;Depto;Cadena;Canal;SubCanal;Tipologia;Regional;Formato;DiaEntregaPedidoNombre;Lat;Lon
1596620;Santiago De Cali;VALLE DEL CAUCA;Abastecemos;Dtt;Smi;SMI M BASIC;Pacifico;Distrimarcas;;3,399039984;-76,57649994
1596621;Bogota;BOGOTA D.C;Alkosto;Mt;Club;CLUB;Cundi-Boyaca;Alkosto;Lunes;6,164557;-75,604658
1596622;Bogota;BOGOTA D.C;Alkosto;Mt;Club;CLUB;Cundi-Boyaca;Alkosto;Lunes;4,679433;-74,085287
1596623;Barranquilla;ATLANTICO;Alkosto;Mt;Club;CLUB;Atlantico;Alkosto;Viernes;11,011688;-74,827955
1596624;Pasto;NARINO;Alkosto;Mt;Club;SUPERG PREMIUM;Pacifico;Alkosto;Viernes;1,083610058;-77,20610046
1596625;Santiago De Cali;VALLE DEL CAUCA;Alkosto;Mt;Club;CLUB;Pacifico;Alkosto;Jueves;3,399039984;-76,57649994
1596626;Pasto;NARINO;Alkosto;Mt;Club;SUPERG PREMIUM;Pacifico;Alkosto;Viernes;1,083610058;-77,20610046
1596627;Bogota;BOGOTA D.C;Alkosto;Mt;Club;CLUB;Cundi-Boyaca;Alkosto;Lunes;4,610953;-74,09511
1596628;Bogota;BOGOTA D.C;Alkosto;Mt;Club;CLUB;Cundi-Boyaca;Alkosto;Lunes;4,316110134;-74,18109894
1596629;Floridablanca;SANTANDER;Alkosto;Mt;Club;CLUB;Santanderes;Alkosto;Viernes;7,079699993;-73,06800079
1596630;Ipiales;NARINO;Alkosto;Mt;Club;SUPERG PREMIUM;Pacifico;Alkosto;Viernes;0,558614016;-77,37039948
1596631;Ipiales;NARINO;Alkosto;Mt;Club;SUPERG PREMIUM;Pacifico;Alkosto;Viernes;0,558614016;-77,37039948
1596632;Pereira;RISARALDA;Alkosto;Mt;Club;CLUB;Eje Cafetero;Alkosto;Viernes;4,807678;-75,718477
1596633;Bogota;BOGOTA D.C;Alkosto;Mt;Club;CLUB;Cundi-Boyaca;Alkosto;Lunes;4,596042;-74,139735
1596634;Villavicencio;META;Alkosto;Mt;Club;CLUB;Llanos;Alkosto;Viernes;4,091670036;-73,49289703
1596635;Palmira;VALLE DEL CAUCA;Canaveral;Dtt;Smi;SMI G BASIC;Pacifico;Corbeta;;3,519865;-76,30394
1596636;Santiago De Cali;VALLE DEL CAUCA;Canaveral;Dtt;Smi;SMI G BASIC;Pacifico;Corbeta;;3,399039984;-76,57649994
1596637;Santiago De Cali;VALLE DEL CAUCA;Canaveral;Dtt;Smi;SMI G PREMIUM;Pacifico;Corbeta;;3,399039984;-76,57649994
1596638;Santiago De Cali;VALLE DEL CAUCA;Canaveral;Dtt;Smi;SMI G BASIC;Pacifico;Corbeta;;3,399039984;-76,57649994
1596639;Jamundi;VALLE DEL CAUCA;Caribe;Dtt;Smi;SMI M BASIC;Pacifico;Tropicana;;3,213890076;-76,62760162
1596640;Barranquilla;ATLANTICO;Cencosud;Mt;Ka;SUPERG BASIC;Atlantico;Jumbo;Viernes;10,98502;-74,813169
1596641;Santa Marta;MAGDALENA;Cencosud;Mt;Ka;SUPERG BASIC;Atlantico;Jumbo;Viernes;11,21915;-74,20882
1596642;Santiago De Cali;VALLE DEL CAUCA;Pricesmart;Mt;Club;CLUB;Pacifico;Pricesmart;;3,399039984;-76,57649994
1596643;Pereira;RISARALDA;Pricesmart;Mt;Club;CLUB;Eje Cafetero;Pricesmart;;4,809148;-75,74311
1596644;Bogota;BOGOTA D.C;Pricesmart;Mt;Club;CLUB;Cundi-Boyaca;Pricesmart;;4,666378;-74,11064
1596645;Bogota;BOGOTA D.C;Pricesmart;Mt;Club;CLUB;Cundi-Boyaca;Pricesmart;;4,746503;-74,025261
1596646;Cucuta;NORTE DE SANTANDER;Punto Y Fama;Dtt;Smi;SMI P;Santanderes;Pastor J Cucuta;;8,112030029;-72,48860168
1596647;Cucuta;NORTE DE SANTANDER;Punto Y Fama;Dtt;Smi;SMI M BASIC;Santanderes;Pastor J Cucuta;;8,112030029;-72,48860168
1596648;Santa Marta;MAGDALENA;Rapimercar;Dtt;Smi;SMI G BASIC;Atlantico;Tropicana;;11,244515;-74,206757
1596649;Santa Marta;MAGDALENA;Rapimercar;Dtt;Smi;SMI G BASIC;Atlantico;Tropicana;;11,194117;-74,226657
1596650;Santa Marta;MAGDALENA;Rapimercar;Dtt;Smi;SMI G BASIC;Atlantico;Tropicana;;11,219788;-74,181687
1596651;Santa Marta;MAGDALENA;Rapimercar;Dtt;Smi;SMI M PREMIUM;Atlantico;Tropicana;;11,23647;-74,204617
1596652;Santiago De Cali;VALLE DEL CAUCA;Rapimerque;Dtt;Smi;SMI M PREMIUM;Pacifico;Distrimarcas;;3,399039984;-76,57649994
1596653;Santa Marta;MAGDALENA;San Isidro;Dtt;Mayorista;MAYORISTA;Atlantico;San Isidro;;11,245755;-74,20548
1596654;Santa Marta;MAGDALENA;San Isidro;Dtt;Mayorista;MAYORISTA;Atlantico;San Isidro;;11,244585;-74,206692
1596655;Santa Marta;MAGDALENA;San Isidro;Dtt;Mayorista;MAYORISTA;Atlantico;San Isidro;;11,246392;-74,206207
1596656;Santa Marta;MAGDALENA;San Isidro;Dtt;Mayorista;MAYORISTA;Atlantico;San Isidro;;11,194207;-74,22606
1596657;Santa Marta;MAGDALENA;San Isidro;Dtt;Mayorista;MAYORISTA;Atlantico;San Isidro;;11,244522;-74,206867
1596658;Santa Marta;MAGDALENA;San Isidro;Dtt;Mayorista;MAYORISTA;Atlantico;San Isidro;;11,245953;-74,206197
1596659;Valledupar;CESAR;Servivalle;Dtt;Mayorista;MAYORISTA;Atlantico;Servivalle;;10,46574;-73,247318
1596660;Valledupar;CESAR;Servivalle;Dtt;Mayorista;MAYORISTA;Atlantico;Servivalle;;10,465272;-73,247573
1596661;Valledupar;CESAR;Servivalle;Dtt;Mayorista;MAYORISTA;Atlantico;Servivalle;;10,465643;-73,247022
1596662;Santiago De Cali;VALLE DEL CAUCA;Su Papa;Dtt;Smi;SMI M BASIC;Pacifico;Tropicana;;3,399039984;-76,57649994
1596663;Santiago De Cali;VALLE DEL CAUCA;Super A;Dtt;Smi;SMI M PREMIUM;Pacifico;Distrimarcas;;3,453163;-76,548043
1596664;Bucaramanga;SANTANDER;Cencosud;Mt;Ka;SUPERG PREMIUM;Santanderes;Jumbo;Sabado;7,155829906;-73,11160278
1596665;Barranquilla;ATLANTICO;Cencosud;Mt;Ka;SUPERG PREMIUM;Atlantico;Jumbo;Viernes;11,012717;-74,828517
1596666;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Jumbo;Jueves - Lunes;4,712658;-74,07117
1596667;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;HYPER PREMIUM;Cundi-Boyaca;Jumbo;Jueves - Lunes;4,756763;-74,06454
1596668;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;HYPER PREMIUM;Cundi-Boyaca;Jumbo;Jueves - Lunes;4,690963;-74,084652
1596669;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;HYPER BASIC;Cundi-Boyaca;Jumbo;Jueves - Lunes;4,617508;-74,090262
1596670;Cartagena;BOLIVAR;Cencosud;Mt;Ka;HYPER PREMIUM;Atlantico;Jumbo;Viernes;10,413207;-75,529805
1596671;Chia;CUNDINAMARCA;Cencosud;Mt;Ka;SUPERG PREMIUM;Cundi-Boyaca;Jumbo;Jueves - Lunes;4,864128;-74,043407
1596672;Chia;CUNDINAMARCA;Cencosud;Mt;Ka;SUPERP PREMIUM;Cundi-Boyaca;Jumbo;Jueves - Lunes;4,865449905;-74,03690338
1596673;Santiago De Cali;VALLE DEL CAUCA;Cencosud;Mt;Ka;SUPERG PREMIUM;Pacifico;Jumbo;Jueves - Lunes;3,399039984;-76,57649994
1596674;Medellin;ANTIOQUIA;Cencosud;Mt;Ka;HYPER BASIC;Antioquia-Choco;Jumbo;Miercoles;6,253898;-75,58336
1596675;Cartagena;BOLIVAR;Cencosud;Mt;Ka;SUPERG BASIC;Atlantico;Jumbo;Viernes;10,42378;-75,540878
1596676;Girardot;CUNDINAMARCA;Cencosud;Mt;Ka;SUPERG BASIC;Centro;Jumbo;Jueves - Lunes;4,30512;-74,804265
1596677;Valledupar;CESAR;Cencosud;Mt;Ka;SUPERG PREMIUM;Atlantico;Jumbo;Viernes;10,493878;-73,269688
1596678;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;HYPER PREMIUM;Cundi-Boyaca;Jumbo;Jueves - Lunes;4,653353;-74,127471
1596679;Medellin;ANTIOQUIA;Cencosud;Mt;Ka;HYPER PREMIUM;Antioquia-Choco;Jumbo;Miercoles;6,186542;-75,582795
1596680;Pereira;RISARALDA;Cencosud;Mt;Ka;SUPERG BASIC;Eje Cafetero;Jumbo;Jueves - Lunes;4,808685;-75,743243
1596681;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Jumbo;Jueves - Lunes;4,63261;-74,115228
1596682;Popayan;CAUCA;Cencosud;Mt;Ka;SUPERG PREMIUM;Pacifico;Jumbo;Jueves - Lunes;2,471699953;-76,59190369
1596683;Santiago De Cali;VALLE DEL CAUCA;Cencosud;Mt;Ka;SUPERG BASIC;Pacifico;Jumbo;Jueves - Lunes;3,399039984;-76,57649994
1596684;Medellin;ANTIOQUIA;Cencosud;Mt;Ka;SUPERG PREMIUM;Antioquia-Choco;Jumbo;Miercoles;6,229202;-75,57129
1596685;Barranquilla;ATLANTICO;Cencosud;Mt;Ka;HYPER PREMIUM;Atlantico;Jumbo;Viernes;10,999647;-74,809323
1596686;Bogota;BOGOTA D.C;Homesentry;Mt;Club;CLUB;Cundi-Boyaca;Homesentry;Sabado;4,67197;-74,088407
1596687;Santiago De Cali;VALLE DEL CAUCA;Homesentry;Mt;Club;CLUB;Pacifico;Homesentry;Lunes;3,399039984;-76,57649994
1596688;Arauca;ARAUCA;Independientes;Dtt;Smi;SMI P;Llanos;Tropiabastos;;6,796279907;-70,50920105
1596689;Flandes;TOLIMA;Supermercados K;Dtt;Smi;SMI P;Centro;Tropiabastos;;4,291277;-74,807587
1596690;Caucasia;ANTIOQUIA;Independientes;Dtt;Smi;SMI G BASIC;Antioquia-Choco;Surtiventas;;7,867939949;-75,03500366
1596691;El Bagre;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;7,704629898;-74,66429901
1596692;Zaragoza;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;7,473999977;-74,85849762
1596693;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI G BASIC;Antioquia-Choco;Surtiventas;;6,244229;-75,594086
1596694;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI P;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596695;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596696;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596697;La Ceja;ANTIOQUIA;Independientes;Dtt;Smi;SMI M PREMIUM;Antioquia-Choco;Surtiventas;;5,992519855;-75,43090057
1596698;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596699;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596700;La Ceja;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;5,992519855;-75,43090057
1596701;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596702;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M PREMIUM;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596703;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596704;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI P;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596705;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596706;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI P;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596707;Medellin;ANTIOQUIA;Super Vaquita;Dtt;Smi;SMI G BASIC;Antioquia-Choco;Tropicana;;6,238702;-75,606894
1596708;Medellin;ANTIOQUIA;Super Vaquita;Dtt;Smi;SMI G PREMIUM;Antioquia-Choco;Tropicana;;6,191693;-75,566245
1596709;Medellin;ANTIOQUIA;Super Vaquita;Dtt;Smi;SMI M PREMIUM;Antioquia-Choco;Tropicana;;6,152147;-75,611638
1596710;Medellin;ANTIOQUIA;Super Vaquita;Dtt;Smi;SMI P;Antioquia-Choco;Tropicana;;6,278697;-75,634102
1596711;Rionegro;ANTIOQUIA;Super Vaquita;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Tropicana;;6,151328;-75,39147
1596712;Bogota;BOGOTA D.C;Supermercado La Nuestra;Dtt;Smi;SMI P;Cundi-Boyaca;Tropiabastos;;4,316110134;-74,18109894
1596713;Bogota;BOGOTA D.C;Supermercado La Nuestra;Dtt;Smi;SMI P;Cundi-Boyaca;Tropiabastos;;4,316110134;-74,18109894
1596714;Bogota;BOGOTA D.C;Supermercado La Nuestra;Dtt;Smi;SMI P;Cundi-Boyaca;Tropiabastos;;4,316110134;-74,18109894
1596715;Bogota;BOGOTA D.C;Supermercado Premium;Dtt;Smi;SMI P;Cundi-Boyaca;Tropiabastos;;4,316110134;-74,18109894
1596716;Bogota;BOGOTA D.C;Supermercado Premium;Dtt;Smi;SMI P;Cundi-Boyaca;Tropiabastos;;4,316110134;-74,18109894
1596717;Bogota;BOGOTA D.C;Supermercado Premium;Dtt;Smi;SMI P;Cundi-Boyaca;Tropiabastos;;4,316110134;-74,18109894
1596718;Bogota;BOGOTA D.C;Supermercados Porvenir;Dtt;Smi;SMI P;Cundi-Boyaca;Tropiabastos;;4,316110134;-74,18109894
1596719;Bogota;BOGOTA D.C;Supermercados Porvenir;Dtt;Smi;SMI P;Cundi-Boyaca;Tropiabastos;;4,316110134;-74,18109894
1596720;Bogota;BOGOTA D.C;Supermercados Porvenir;Dtt;Smi;SMI P;Cundi-Boyaca;Tropiabastos;;4,316110134;-74,18109894
1596721;Bogota;BOGOTA D.C;Supermercados Porvenir;Dtt;Smi;SMI P;Cundi-Boyaca;Tropiabastos;;4,316110134;-74,18109894
1596722;Santiago De Cali;VALLE DEL CAUCA;Surtifamiliar;Dtt;Smi;SMI M BASIC;Pacifico;Corbeta;;3,399039984;-76,57649994
1596723;Santiago De Cali;VALLE DEL CAUCA;Surtifamiliar;Dtt;Smi;SMI M BASIC;Pacifico;Corbeta;;3,399039984;-76,57649994
1596724;Ibague;TOLIMA;Surtilima;Dtt;Mayorista;MAYORISTA;Centro;Surtilima;;4,440632;-75,232725
1596725;Ibague;TOLIMA;Surtilima;Dtt;Mayorista;MAYORISTA;Centro;Surtilima;;4,4407;-75,23299
1596726;Ibague;TOLIMA;Surtilima;Dtt;Mayorista;MAYORISTA;Centro;Surtilima;;4,440688;-75,233315
1596727;Ibague;TOLIMA;Surtilima;Dtt;Mayorista;MAYORISTA;Centro;Surtilima;;4,440618;-75,233387
1596728;Rionegro;ANTIOQUIA;Cencosud;Mt;Ka;SUPERG BASIC;Antioquia-Choco;Jumbo;Miercoles;6,141033;-75,379532
1596729;Barrancabermeja;SANTANDER;Cencosud;Mt;Ka;SUPERG BASIC;Santanderes;Jumbo;Sabado;7,054069996;-73,78209686
1596730;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;HYPER PREMIUM;Cundi-Boyaca;Jumbo;Jueves - Lunes;4,690708;-74,03659
1596731;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;SUPERG PREMIUM;Cundi-Boyaca;Jumbo;Jueves - Lunes;4,763165;-74,046152
1596732;Medellin;ANTIOQUIA;Cencosud;Mt;Ka;SUPERG PREMIUM;Antioquia-Choco;Jumbo;Miercoles;6,195668;-75,574052
1596733;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Jumbo;Jueves - Lunes;4,749213;-74,096627
1596734;Bucaramanga;SANTANDER;Cencosud;Mt;Ka;SUPERP BASIC;Santanderes;Jumbo;Sabado;7,155829906;-73,11160278
1596735;Bucaramanga;SANTANDER;Cencosud;Mt;Ka;SUPERG PREMIUM;Santanderes;Jumbo;Sabado;7,155829906;-73,11160278
1596736;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;SUPERP PREMIUM;Cundi-Boyaca;Jumbo;Jueves - Lunes;4,695387;-74,085903
1596737;Tunja;BOYACA;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Jumbo;Jueves - Lunes;5,546323;-73,3501
1596738;Santiago De Cali;VALLE DEL CAUCA;Cencosud;Mt;Ka;HYPER PREMIUM;Pacifico;Jumbo;Jueves - Lunes;3,399039984;-76,57649994
1596739;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Metro;Jueves - Lunes;4,602148;-74,133737
1596740;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Metro;Jueves - Lunes;4,596825;-74,166725
1596741;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;SUPERP BASIC;Cundi-Boyaca;Metro;Jueves - Lunes;4,632155;-74,14587
1596742;Bello;ANTIOQUIA;Cencosud;Mt;Ka;SUPERG BASIC;Antioquia-Choco;Metro;Miercoles;6,31755;-75,557582
1596743;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Metro;Jueves - Lunes;4,630133;-74,19461
1596744;Guadalajara De Buga;VALLE DEL CAUCA;Cencosud;Mt;Ka;SUPERG BASIC;Pacifico;Metro;Jueves - Lunes;3,855249882;-76,10510254
1596745;Cartago;VALLE DEL CAUCA;Cencosud;Mt;Ka;SUPERG BASIC;Pacifico;Metro;Jueves - Lunes;4,706850052;-75,91790009
1596746;Pereira;RISARALDA;Cencosud;Mt;Ka;SUPERG BASIC;Eje Cafetero;Metro;Jueves - Lunes;4,835363;-75,669197
1596747;Duitama;BOYACA;Cencosud;Mt;Ka;SUPERP BASIC;Cundi-Boyaca;Metro;Jueves - Lunes;5,832397;-73,03245
1596748;Facatativa;CUNDINAMARCA;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Metro;Jueves - Lunes;4,819633;-74,358213
1596749;Copacabana;ANTIOQUIA;Independientes;Dtt;Smi;SMI P;Antioquia-Choco;Surtiventas;;6,351880074;-75,50080109
1596750;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596751;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI P;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596752;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596753;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596754;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596755;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI P;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596756;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596757;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596758;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI P;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596759;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596760;Marinilla;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,185200214;-75,30490112
1596761;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI M BASIC;Antioquia-Choco;Surtiventas;;6,257589817;-75,61100006
1596762;Medellin;ANTIOQUIA;Independientes;Dtt;Smi;SMI G BASIC;Antioquia-Choco;Tropicana;;6,18807;-75,58851
1596763;Bogota;BOGOTA D.C;Independientes;Dtt;Smi;SMI P;Cundi-Boyaca;Corbeta;;4,316110134;-74,18109894
1596764;Bogota;BOGOTA D.C;Independientes;Dtt;Smi;SMI P;Cundi-Boyaca;Corbeta;;4,316110134;-74,18109894
1596765;Bogota;BOGOTA D.C;Independientes;Dtt;Smi;SMI P;Cundi-Boyaca;Corbeta;;4,316110134;-74,18109894
1596766;Bogota;BOGOTA D.C;Independientes;Dtt;Smi;SMI P;Cundi-Boyaca;Tropiabastos;;4,316110134;-74,18109894
1596767;Bogota;BOGOTA D.C;Independientes;Dtt;Smi;SMI M BASIC;Cundi-Boyaca;Tropiabastos;;4,316110134;-74,18109894
1596768;Bogota;BOGOTA D.C;Independientes;Dtt;Smi;SMI P;Cundi-Boyaca;Tropiabastos;;4,316110134;-74,18109894
1596769;Bogota;BOGOTA D.C;Independientes;Dtt;Smi;SMI P;Cundi-Boyaca;Tropiabastos;;4,316110134;-74,18109894
1596770;Ibague;TOLIMA;Surtilima;Dtt;Mayorista;MAYORISTA;Centro;Surtilima;;4,441047;-75,233495
1596771;Ibague;TOLIMA;Surtilima;Dtt;Mayorista;MAYORISTA;Centro;Surtilima;;4,440507;-75,232397
1596772;Ibague;TOLIMA;Surtilima;Dtt;Mayorista;MAYORISTA;Centro;Surtilima;;4,440757;-75,233442
1596773;Ibague;TOLIMA;Surtilima;Dtt;Mayorista;MAYORISTA;Centro;Surtilima;;4,451920033;-75,25260162
1596774;Ibague;TOLIMA;Surtilima;Dtt;Mayorista;MAYORISTA;Centro;Surtilima;;4,440922;-75,233527
1596775;Ibague;TOLIMA;Surtilima;Dtt;Mayorista;MAYORISTA;Centro;Surtilima;;4,451920033;-75,25260162
1596776;Ibague;TOLIMA;Surtiplaza;Dtt;Smi;SMI G PREMIUM;Centro;Tropicana;;4,451920033;-75,25260162
1596777;Ibague;TOLIMA;Surtiplaza;Dtt;Smi;SMI G BASIC;Centro;Tropicana;;4,451920033;-75,25260162
1596778;Ibague;TOLIMA;Surtiplaza;Dtt;Smi;SMI M BASIC;Centro;Tropicana;;4,451920033;-75,25260162
1596779;Santiago De Cali;VALLE DEL CAUCA;Surtivalle;Dtt;Mayorista;MAYORISTA;Pacifico;Surtivalle;;3,399039984;-76,57649994
1596780;Santiago De Cali;VALLE DEL CAUCA;Surtivalle;Dtt;Mayorista;MAYORISTA;Pacifico;Surtivalle;;3,399039984;-76,57649994
1596781;Santiago De Cali;VALLE DEL CAUCA;Surtivalle;Dtt;Mayorista;MAYORISTA;Pacifico;Surtivalle;;3,399039984;-76,57649994
1596782;Santiago De Cali;VALLE DEL CAUCA;Surtivalle;Dtt;Mayorista;MAYORISTA;Pacifico;Surtivalle;;3,399039984;-76,57649994
1596783;Santiago De Cali;VALLE DEL CAUCA;Surtivalle;Dtt;Mayorista;MAYORISTA;Pacifico;Surtivalle;;3,399039984;-76,57649994
1596784;Santiago De Cali;VALLE DEL CAUCA;Surtivalle;Dtt;Mayorista;MAYORISTA;Pacifico;Surtivalle;;3,399039984;-76,57649994
1596785;Santiago De Cali;VALLE DEL CAUCA;Surtivalle;Dtt;Mayorista;MAYORISTA;Pacifico;Surtivalle;;3,399039984;-76,57649994
1596786;Santiago De Cali;VALLE DEL CAUCA;Surtivalle;Dtt;Mayorista;MAYORISTA;Pacifico;Surtivalle;;3,399039984;-76,57649994
1596787;Bogota;BOGOTA D.C;Tropiabastos;Dtt;Mayorista;MAYORISTA;Cundi-Boyaca;Tropiabastos;;4,62933;-74,158007
1596788;Bogota;BOGOTA D.C;Tropiabastos;Dtt;Mayorista;MAYORISTA;Cundi-Boyaca;Tropiabastos;;4,629595;-74,159102
1596789;Bogota;BOGOTA D.C;Tropiabastos;Dtt;Mayorista;MAYORISTA;Cundi-Boyaca;Tropiabastos;;4,631042;-74,158585
1596790;Bogota;BOGOTA D.C;Tropiabastos;Dtt;Mayorista;MAYORISTA;Cundi-Boyaca;Tropiabastos;;4,627935;-74,159242
1596791;Bogota;BOGOTA D.C;Tropiabastos;Dtt;Mayorista;MAYORISTA;Cundi-Boyaca;Tropiabastos;;4,628377;-74,159618
1596792;Bucaramanga;SANTANDER;Cencosud;Mt;Ka;HYPER BASIC;Santanderes;Metro;Sabado;7,155829906;-73,11160278
1596793;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Metro;Jueves - Lunes;4,316110134;-74,18109894
1596794;Bucaramanga;SANTANDER;Cencosud;Mt;Ka;SUPERG BASIC;Santanderes;Metro;Sabado;7,155829906;-73,11160278
1596795;Ibague;TOLIMA;Cencosud;Mt;Ka;HYPER BASIC;Centro;Metro;Viernes - Lunes;4,43797;-75,201482
1596796;Itagui;ANTIOQUIA;Cencosud;Mt;Ka;SUPERG BASIC;Antioquia-Choco;Metro;Miercoles;6,173893;-75,612287
1596797;Santiago De Cali;VALLE DEL CAUCA;Cencosud;Mt;Ka;SUPERG BASIC;Pacifico;Metro;Jueves - Lunes;3,399039984;-76,57649994
1596798;Cucuta;NORTE DE SANTANDER;Cencosud;Mt;Ka;HYPER BASIC;Santanderes;Metro;Sabado;8,112030029;-72,48860168
1596799;Valledupar;CESAR;Cencosud;Mt;Ka;SUPERG BASIC;Atlantico;Metro;Viernes;10,45584;-73,240643
1596800;Monteria;CORDOBA;Cencosud;Mt;Ka;SUPERG BASIC;Atlantico;Metro;Viernes;8,750645;-75,890897
1596801;Mosquera;CUNDINAMARCA;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Metro;Jueves - Lunes;4,702533;-74,223025
1596802;Neiva;HUILA;Cencosud;Mt;Ka;SUPERG BASIC;Centro;Metro;Viernes - Lunes;2,937846;-75,293828
1596803;Pasto;NARINO;Cencosud;Mt;Ka;SUPERG BASIC;Pacifico;Metro;Jueves - Lunes;1,083610058;-77,20610046
1596804;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Metro;Jueves - Lunes;4,677284;-74,116583
1596805;Neiva;HUILA;Cencosud;Mt;Ka;SUPERG BASIC;Centro;Metro;Viernes - Lunes;2,934707;-75,248605
1596806;Soacha;CUNDINAMARCA;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Metro;Jueves - Lunes;4,588988;-74,205045
1596807;Sogamoso;BOYACA;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Metro;Jueves - Lunes;5,713137;-72,930687
1596808;Bogota;BOGOTA D.C;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Metro;Jueves - Lunes;4,316110134;-74,18109894
